country;code;NOMINAL;PRECIO_INGRESOS;PRECIO_ALQUILER;REAL;ALQUILER
Australia;AUS;114;102;112;107;101
Austria;AUT;136;124;114;126;119
Belgium;BEL;119;103;111;110;107
Bulgaria;BGR;137;0;0;127;0
Brazil;BRA;104;0;0;83;0
Canada;CAN;137;119;128;130;107
Switzerland;CHE;115;114;112;114;103
Chile;CHL;128;115;105;113;122
China;CHN;145;0;0;130;0
Colombia;COL;137;116;113;118;0
Czechia;CZE;154;117;135;138;114
Germany;DEU;139;123;130;131;107
Denmark;DNK;124;110;116;120;106
Spain;ESP;128;121;122;122;104
Estonia;EST;133;96;106;120;125
Finland;FIN;106;96;97;102;110
France;FRA;117;106;116;112;101
United_Kingdom;GBR;120;110;114;110;105
Greece;GRC;110;103;120;112;92
Hungary;HUN;179;127;137;154;130
India;IDN;114;0;0;98;0
Indonesia;IND;129;0;0;108;0
Ireland;IRL;135;108;115;127;117
Iceland;ISL;158;0;127;143;125
Israel;ISR;116;0;109;115;107
Italy;ITA;100;97;99;98;101
Japan;JPN;109;101;109;107;99
South_Korea;KOR;107;94;103;102;104
Lithuania;LTU;141;95;109;128;130
Luxembourg;LUX;151;127;143;141;106
Latvia;LVA;146;107;139;131;105
Mexico;MEX;145;0;128;118;113
Netherlands;NLD;143;124;128;131;112
Norway;NOR;121;107;111;109;109
New_Zealand;NZL;143;119;126;133;113
Poland;POL;135;99;113;124;120
Portugal;PRT;153;131;138;144;111
Romania;ROU;128;0;0;111;0
Russia;RUS;144;0;132;119;0
Saudi_Arabia;SAU;85;0;0;0;0
Slovakia;SVK;145;115;141;134;103
Slovenia;SVN;136;108;117;130;116
Sweden;SWE;128;114;121;118;106
Turkey;TUR;174;0;111;99;157
United_States_of_America;USA;135;110;113;125;119
South_Africa;ZAF;121;0;99;98;122
